Driver,Car,LapNumber,LapTime,Stint,TyreCompound,Timestamp
VER,Red Bull,1,94.562,1,SOFT,2026-03-15T14:02:15Z
VER,Red Bull,2,93.102,1,SOFT,2026-03-15T14:03:48Z
VER,Red Bull,3,93.05,1,SOFT,2026-03-15T14:05:21Z
VER,Red Bull,4,92.95,1,SOFT,2026-03-15T14:06:54Z
VER,Red Bull,5,93.1,1,SOFT,2026-03-15T14:08:27Z
VER,Red Bull,6,93.35,1,SOFT,2026-03-15T14:10:00Z
VER,Red Bull,7,93.8,1,SOFT,2026-03-15T14:11:34Z
VER,Red Bull,8,118.21,1,SOFT,2026-03-15T14:13:32Z
VER,Red Bull,9,92.88,2,MEDIUM,2026-03-15T14:15:05Z
VER,Red Bull,10,92.45,2,MEDIUM,2026-03-15T14:16:37Z
VER,Red Bull,11,92.3,2,MEDIUM,2026-03-15T14:18:09Z
VER,Red Bull,12,92.15,2,MEDIUM,2026-03-15T14:19:42Z
VER,Red Bull,13,92.05,2,MEDIUM,2026-03-15T14:21:14Z
VER,Red Bull,14,91.98,2,MEDIUM,2026-03-15T14:22:46Z
VER,Red Bull,15,91.9,2,MEDIUM,2026-03-15T14:24:18Z
VER,Red Bull,16,91.85,2,MEDIUM,2026-03-15T14:25:49Z
VER,Red Bull,17,91.82,2,MEDIUM,2026-03-15T14:27:21Z
VER,Red Bull,18,91.78,2,MEDIUM,2026-03-15T14:28:53Z
VER,Red Bull,19,91.75,2,MEDIUM,2026-03-15T14:30:25Z
VER,Red Bull,20,91.7,2,MEDIUM,2026-03-15T14:31:57Z
HAM,Mercedes,1,95.89,1,MEDIUM,2026-03-15T14:02:17Z
HAM,Mercedes,2,94.21,1,MEDIUM,2026-03-15T14:03:51Z
HAM,Mercedes,3,94.115,1,MEDIUM,2026-03-15T14:05:25Z
HAM,Mercedes,4,94.0,1,MEDIUM,2026-03-15T14:06:59Z
HAM,Mercedes,5,93.95,1,MEDIUM,2026-03-15T14:08:33Z
HAM,Mercedes,6,93.9,1,MEDIUM,2026-03-15T14:10:07Z
HAM,Mercedes,7,93.85,1,MEDIUM,2026-03-15T14:11:41Z
HAM,Mercedes,8,93.8,1,MEDIUM,2026-03-15T14:13:15Z
HAM,Mercedes,9,93.78,1,MEDIUM,2026-03-15T14:14:49Z
HAM,Mercedes,10,93.75,1,MEDIUM,2026-03-15T14:16:22Z
HAM,Mercedes,11,93.72,1,MEDIUM,2026-03-15T14:17:56Z
HAM,Mercedes,12,119.5,1,MEDIUM,2026-03-15T14:19:55Z
HAM,Mercedes,13,94.1,2,HARD,2026-03-15T14:21:30Z
HAM,Mercedes,14,93.65,2,HARD,2026-03-15T14:23:03Z
HAM,Mercedes,15,93.4,2,HARD,2026-03-15T14:24:37Z
HAM,Mercedes,16,93.3,2,HARD,2026-03-15T14:26:10Z
HAM,Mercedes,17,93.25,2,HARD,2026-03-15T14:27:43Z
HAM,Mercedes,18,93.2,2,HARD,2026-03-15T14:29:16Z
HAM,Mercedes,19,93.15,2,HARD,2026-03-15T14:30:50Z
HAM,Mercedes,20,93.1,2,HARD,2026-03-15T14:32:23Z
NOR,McLaren,1,96.1,1,MEDIUM,2026-03-15T14:02:18Z
NOR,McLaren,2,95.45,1,MEDIUM,2026-03-15T14:03:53Z
NOR,McLaren,3,95.2,1,MEDIUM,2026-03-15T14:05:28Z
NOR,McLaren,4,95.11,1,MEDIUM,2026-03-15T14:07:03Z
NOR,McLaren,5,94.95,1,MEDIUM,2026-03-15T14:08:38Z
NOR,McLaren,6,94.8,1,MEDIUM,2026-03-15T14:10:13Z
NOR,McLaren,7,94.75,1,MEDIUM,2026-03-15T14:11:48Z
NOR,McLaren,8,94.7,1,MEDIUM,2026-03-15T14:13:23Z
NOR,McLaren,9,94.65,1,MEDIUM,2026-03-15T14:14:57Z
NOR,McLaren,10,94.6,1,MEDIUM,2026-03-15T14:16:32Z
NOR,McLaren,11,94.55,1,MEDIUM,2026-03-15T14:18:06Z
NOR,McLaren,12,94.5,1,MEDIUM,2026-03-15T14:19:41Z
NOR,McLaren,13,119.8,1,MEDIUM,2026-03-15T14:21:41Z
NOR,McLaren,14,95.2,2,HARD,2026-03-15T14:23:16Z
NOR,McLaren,15,94.8,2,HARD,2026-03-15T14:24:51Z
NOR,McLaren,16,94.6,2,HARD,2026-03-15T14:26:25Z
NOR,McLaren,17,94.5,2,HARD,2026-03-15T14:28:00Z
NOR,McLaren,18,94.4,2,HARD,2026-03-15T14:29:34Z
NOR,McLaren,19,94.35,2,HARD,2026-03-15T14:31:09Z
NOR,McLaren,20,94.3,2,HARD,2026-03-15T14:32:43Z
LEC,Ferrari,1,95.2,1,SOFT,2026-03-15T14:02:16Z
LEC,Ferrari,2,93.8,1,SOFT,2026-03-15T14:03:50Z
LEC,Ferrari,3,93.75,1,SOFT,2026-03-15T14:05:24Z
LEC,Ferrari,4,93.7,1,SOFT,2026-03-15T14:06:58Z
LEC,Ferrari,5,93.85,1,SOFT,2026-03-15T14:08:32Z
LEC,Ferrari,6,94.2,1,SOFT,2026-03-15T14:10:06Z
LEC,Ferrari,7,119.4,1,SOFT,2026-03-15T14:12:05Z
LEC,Ferrari,8,93.1,2,MEDIUM,2026-03-15T14:13:38Z
LEC,Ferrari,9,92.8,2,MEDIUM,2026-03-15T14:15:11Z
LEC,Ferrari,10,92.7,2,MEDIUM,2026-03-15T14:16:44Z
LEC,Ferrari,11,92.6,2,MEDIUM,2026-03-15T14:18:16Z
LEC,Ferrari,12,92.5,2,MEDIUM,2026-03-15T14:19:49Z
LEC,Ferrari,13,92.45,2,MEDIUM,2026-03-15T14:21:21Z
LEC,Ferrari,14,92.4,2,MEDIUM,2026-03-15T14:22:54Z
LEC,Ferrari,15,92.35,2,MEDIUM,2026-03-15T14:24:26Z
LEC,Ferrari,16,92.3,2,MEDIUM,2026-03-15T14:25:58Z
LEC,Ferrari,17,92.28,2,MEDIUM,2026-03-15T14:27:31Z
LEC,Ferrari,18,92.25,2,MEDIUM,2026-03-15T14:29:03Z
LEC,Ferrari,19,92.22,2,MEDIUM,2026-03-15T14:30:35Z
LEC,Ferrari,20,92.2,2,MEDIUM,2026-03-15T14:32:07Z
